Wiped at: 2017-12-16 04:21:21
person,Average Test Distance,average y test distance,average x test distance,average left eye y test distance,average left eye x test distance,average right eye y test distance,average right eye x test distance,average webGazer Distance,average y webGazer Distance,average x webGazer Distance,training time,training size,testing size
Session Time Stamp: 2017-12-16 04:22:25
Session Time Stamp: 2017-12-16 04:27:45
1,0.20933049091510988,0.11765157127436916,0.15045182275519306,0.12569559545123152,0.161608924956194,0.12238318031553977,0.13957570430024394,0.22735327452113996,0.16643288037793294,0.1328180559559741,79.7518219947815,4740,117
12,0.19115663377277817,0.12414152413245519,0.12484140790599797,0.14932210759582873,0.13444227506929285,0.11838176698252863,0.1165936816631037,0.26183349534175016,0.17042594787487306,0.1629009804710569,48.07589602470398,2844,398
13,0.14668376544106693,0.09880067758556259,0.09408923425852615,0.13552834872940653,0.10528915691324264,0.08595000756414313,0.08375840300792142,0.23333297803068065,0.1688549516242194,0.13728449038534202,50.5896520614624,2941,156
14,0.19159795304805635,0.12206434196935245,0.1265111370152989,0.14911267693124472,0.15489538529213714,0.10889129739840545,0.10301587764960489,0.298900515653958,0.19457916235286699,0.18583203165808235,62.35403800010681,3599,499
17,0.1894316200770729,0.12551762317071846,0.12165490664908626,0.15483544709087674,0.1308114156306831,0.11250400254921464,0.11382025008395921,0.252820357707972,0.1821635716902929,0.14109406273955713,49.60863399505615,2935,718
18,0.15111899826745326,0.09685178819927387,0.09778350261512969,0.12094729306409135,0.10779611437828862,0.09016070410143584,0.08885872265091166,0.2306402652393086,0.15238873076353532,0.13878574947678624,62.238656997680664,3621,134
19,0.16988595251631824,0.11905949549639926,0.09944102427963276,0.14786691770286245,0.10756852374247769,0.10525314900476267,0.09330517891657483,0.25833070767290633,0.18146993612753687,0.14818316716540997,38.297757148742676,2261,681
20,0.16371959926902538,0.11097486207339292,0.10175975791903005,0.1419632671168074,0.10934818538500823,0.0972470395680931,0.09557005282517315,0.2626594483515366,0.1947247799414349,0.14085385081435858,41.58693504333496,2426,721
23,0.14067559808930005,0.058857120004379086,0.12125420051031849,0.08526281112184127,0.13063651836839402,0.07550419825646612,0.11187188265224297,0.26664233804840626,0.18218557431259091,0.1565564353100921,65.10619115829468,3737,72
25,0.14188588071499544,0.0716281985597951,0.11238967608369421,0.09956341928669385,0.1247975605614816,0.07839752361178398,0.10050514061003923,0.2566111088251282,0.1905011003428981,0.13201018142932472,52.99491286277771,3103,59
33,0.3285486899510953,0.2756001395473798,0.14097641422338184,0.2844240777795353,0.1325600187279164,0.26756622356873366,0.15057172229693783,0.3193254378037978,0.18943942241123665,0.22372084395253972,9.385769128799438,525,248
34,0.15034748292272881,0.11036335477708942,0.08062363372624128,0.1566628587639166,0.08817949618161139,0.0787351085907883,0.07369710028999382,0.35276924530395265,0.24879477705794997,0.2137368996077171,61.32293486595154,3488,74
37,0.13974642022723052,0.09415314666478446,0.08624821539302098,0.12548046541848668,0.10059507360522359,0.08142448818587043,0.07410907107232897,0.26539950612121205,0.177512633787284,0.1583127802618133,41.98748588562012,2468,438
38,0.15721418696488165,0.15057248063385487,0.035232891284977086,0.14145053550601006,0.03401751062483527,0.15969442576169968,0.04550382122397423,0.37110940114912294,0.2102949766483572,0.25365397750898,1.2018651962280273,37,8
41,0.15736885401328987,0.10641743594040985,0.09245645278818249,0.13691558583420427,0.10059927720302607,0.09208416037590188,0.08562915010706466,0.22167368822307032,0.15167942818208577,0.132599635744084,49.51107215881348,2952,275
45,0.18353063672722797,0.12208253736297849,0.1146561951046096,0.15072266769213535,0.1238591620299074,0.10939024481838636,0.10683021626415119,0.27120130738274867,0.18301394657730474,0.16481494689629694,51.007604122161865,3024,1118
48,0.32073761496371267,0.24487739626783878,0.16945340929669328,0.23124211584217846,0.15051092224894091,0.2585126766934991,0.19832112593576312,0.3534777800954537,0.25486706807329834,0.20602495738292215,2.2488620281219482,92,16
Session Time Stamp: 2017-12-16 06:24:32
1,0.2110526143524754,0.1183389458747115,0.15219655554808145,0.12569559545123152,0.16333141404071025,0.12367149479853522,0.14136752635905786,0.22735327452113996,0.16643288037793294,0.1328180559559741,81.80729603767395,4740,117
12,0.19124760093070056,0.12411247142970715,0.12506425431549398,0.14932210759582873,0.13364260106071907,0.11830634384282998,0.11766943754390718,0.26183349534175016,0.17042594787487306,0.1629009804710569,47.78980994224548,2844,398
13,0.14608415743519443,0.09880067758556259,0.09334805157911767,0.13552834872940653,0.10465308124089222,0.08597949304078754,0.08295234508420292,0.23333297803068065,0.1688549516242194,0.13728449038534202,51.29947590827942,2941,156
